DATE	DAY	MONTH	QUARTER	YEAR	OPEN	HIGH	LOW	PREV. CLOSE	LTP	CLOSE	VWAP	52W H	52W L	VOLUME	NO. OF  TRADES
25 November 2025	Tuesday	November	Q4	2025	1535.90	1559.60	1525.10	1535.90	1540.00	1539.70	1546.34	1559.60	1114.85	15033482	299805
24 November 2025	Monday	November	Q4	2025	1550.00	1550.00	1531.80	1546.60	1534.90	1535.90	1537.26	1557.80	1114.85	18433951	198313
21 November 2025	Friday	November	Q4	2025	1541.00	1557.80	1540.10	1549.10	1543.70	1546.60	1549.35	1557.80	1114.85	9615271	240250
20 November 2025	Thursday	November	Q4	2025	1530.00	1550.90	1526.70	1518.90	1549.50	1549.10	1543.57	1551.00	1114.85	18171724	246552
19 November 2025	Wednesday	November	Q4	2025	1517.40	1522.30	1512.00	1519.40	1519.00	1518.90	1518.64	1551.00	1114.85	5692366	131481
18 November 2025	Tuesday	November	Q4	2025	1521.70	1527.80	1510.50	1518.30	1520.00	1519.40	1520.18	1551.00	1114.85	11045042	165850
17 November 2025	Monday	November	Q4	2025	1520.90	1523.70	1511.50	1518.90	1518.00	1518.30	1516.89	1551.00	1114.85	5871416	123473
14 November 2025	Friday	November	Q4	2025	1505.50	1520.90	1505.50	1510.90	1518.20	1518.90	1516.51	1551.00	1114.85	7682823	194941
13 November 2025	Thursday	November	Q4	2025	1515.00	1522.10	1506.80	1511.50	1512.10	1510.90	1514.35	1551.00	1114.85	7196443	209774
12 November 2025	Wednesday	November	Q4	2025	1505.00	1524.70	1500.00	1493.40	1511.80	1511.50	1515.00	1551.00	1114.85	12384459	252417
11 November 2025	Tuesday	November	Q4	2025	1497.00	1498.80	1480.20	1489.30	1493.80	1493.40	1489.58	1551.00	1114.85	7127506	149607
10 November 2025	Monday	November	Q4	2025	1477.90	1501.00	1475.50	1478.00	1490.10	1489.30	1492.69	1551.00	1114.85	7068438	154602
07 November 2025	Friday	November	Q4	2025	1494.60	1498.40	1475.90	1496.10	1480.00	1478.00	1486.71	1551.00	1114.85	7821765	139608
06 November 2025	Thursday	November	Q4	2025	1484.00	1501.60	1476.20	1473.10	1494.80	1496.10	1494.08	1551.00	1114.85	16772678	269902
04 November 2025	Tuesday	November	Q4	2025	1483.90	1492.80	1470.10	1484.70	1471.10	1473.10	1480.96	1551.00	1114.85	10007806	218103
03 November 2025	Monday	November	Q4	2025	1486.00	1495.00	1479.30	1486.40	1487.30	1484.70	1488.29	1551.00	1114.85	8452085	245664
31 October 2025	Friday	October	Q4	2025	1490.40	1497.50	1482.30	1488.50	1487.00	1486.40	1487.80	1551.00	1114.85	8758053	206898
30 October 2025	Thursday	October	Q4	2025	1500.00	1503.10	1484.00	1504.20	1489.50	1488.50	1492.27	1551.00	1114.85	9318663	276397
29 October 2025	Wednesday	October	Q4	2025	1490.00	1508.30	1488.10	1486.90	1504.00	1504.20	1502.67	1551.00	1114.85	11884745	219504
28 October 2025	Tuesday	October	Q4	2025	1484.10	1492.00	1477.60	1484.10	1489.70	1486.90	1484.96	1551.00	1114.85	17631577	314894
27 October 2025	Monday	October	Q4	2025	1463.00	1485.00	1458.00	1451.60	1483.20	1484.10	1480.24	1551.00	1114.85	14113867	274839
24 October 2025	Friday	October	Q4	2025	1450.00	1459.80	1441.00	1448.40	1451.10	1451.60	1450.25	2752.00	1114.85	9700837	221258
23 October 2025	Thursday	October	Q4	2025	1475.00	1482.90	1444.60	1465.20	1448.00	1448.40	1464.71	2752.00	1114.85	18707090	376220
21 October 2025	Tuesday	October	Q4	2025	1468.00	1474.00	1460.00	1466.80	1461.00	1465.20	1467.87	2752.00	1114.85	2066169	86819
20 October 2025	Monday	October	Q4	2025	1440.00	1473.80	1433.30	1416.80	1467.90	1466.80	1461.76	2752.00	1114.85	24721978	512798
17 October 2025	Friday	October	Q4	2025	1401.00	1423.30	1399.10	1398.30	1419.10	1416.80	1413.78	2760.15	1114.85	19335561	350761
16 October 2025	Thursday	October	Q4	2025	1375.10	1400.50	1375.00	1374.30	1398.50	1398.30	1387.20	2760.15	1114.85	12315932	287913
15 October 2025	Wednesday	October	Q4	2025	1383.00	1384.00	1372.70	1375.90	1374.70	1374.30	1377.15	2760.15	1114.85	10882743	239811
14 October 2025	Tuesday	October	Q4	2025	1380.00	1388.00	1370.10	1375.00	1374.90	1375.90	1377.47	2760.15	1114.85	9768174	164937
13 October 2025	Monday	October	Q4	2025	1376.90	1377.70	1367.80	1381.70	1376.00	1375.00	1372.70	2760.15	1114.85	7600682	175585
10 October 2025	Friday	October	Q4	2025	1377.80	1388.00	1375.10	1377.80	1380.90	1381.70	1383.21	2802.00	1114.85	6373084	193985
09 October 2025	Thursday	October	Q4	2025	1374.00	1380.00	1369.10	1367.40	1376.50	1377.80	1376.25	2802.00	1114.85	8826633	217890
08 October 2025	Wednesday	October	Q4	2025	1384.80	1389.00	1364.50	1384.80	1367.30	1367.40	1371.62	2802.00	1114.85	8525081	214245
